number;group;name;suggested_cost_price;extra_cost;sales_price;unit_id;stock_quantity;description;min_inventory_quantity;min_sales_quantity;min_purchase_quantity;barcode;default_location_id;variation_id;weight;weight_unit;width;height;depth;size_unit;supplier_product_number;is_barred;discount_group;image_url;Har batchstyring;has_serial_numbers;default_supplier_id
SOL-52118113;25;Bolt DIN 7985 M5-50; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52120004;25;Nut DIN 934 M4 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52120008;25;Nut DIN 934 M8 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-52303206;25;Bolt DIN 912 W5/16-15 8.8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033008;25;Washer GROWER DIN 127-8; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033009;25;Washer GROWER DIN 127-9; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033010;25;Washer GROWER DIN 127-10; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033012;25;Washer Grower DIN 127-12; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53033018;25;Washer GROWER DIN 127-18; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53034010;25;Washer GROWER DIN 7980 10; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53038010;25;Washer DIN 6798-A 10; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53038012;25;Washer DIN 6798-A 12; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040006;25;RETAINING RING DIN 471 E-6; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040010;25;CIRClip DIN 471 E-10; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040016;25;CIRClip DIN 471 E-16; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040017;25;Circlip DIN 471 E-17; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040018;25;CIRClip DIN 471 E-18; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
SOL-53040020;25;CIRClip DIN 471 E-20; kr 0,94 ;; kr 50 ;;;;;;;;;;;;;;;;;;;;;;200602
